Date,Open,Close,OC2,OPC2
09/14/2018,1.16895,1.16227,6.44E-03,0.553968
09/17/2018,1.16223,1.1683,-6.70E-03,-0.5731575
09/18/2018,1.1683,1.16651,6.03E-03,0.5188195
09/19/2018,1.1665,1.16721,-1.79E-03,-0.1532181
09/20/2018,1.16715,1.17766,0.01115,0.9558429
09/21/2018,1.17765,1.17473,1.05E-02,0.8952978
09/24/2018,1.17432,1.17473,-2.93E-03,-0.2488023
09/25/2018,1.17471,1.17659,1.86E-03,0.1583362
09/26/2018,1.17656,1.17379,1.86E-03,0.1583362
09/27/2018,1.17361,1.16404,-0.01255,-1.066641
09/28/2018,1.164,1.16019,-1.36E-02,-1.158639
10/01/2018,1.16171,1.15778,-6.26E-03,-0.5377752
10/02/2018,1.15776,1.15461,-5.58E-03,-0.4809513
10/03/2018,1.15454,1.14766,-1.01E-02,-0.8740895
10/04/2018,1.14762,1.15136,-6.95E-03,-0.6019366
10/05/2018,1.15135,1.15174,4.08E-03,0.3555006
10/08/2018,1.1521,1.14908,3.80E-04,0.0329975
10/09/2018,1.14907,1.14899,-2.75E-03,-0.2387622
10/10/2018,1.14899,1.15185,-9.00E-05,-7.83E-03
10/11/2018,1.15182,1.15931,1.03E-02,0.8981756
10/12/2018,1.1593,1.15571,7.46E-03,0.6476536
10/15/2018,1.15372,1.15785,-3.60E-03,-0.3105296
10/16/2018,1.15787,1.15732,2.14E-03,0.1851715
10/17/2018,1.15732,1.14999,-7.86E-03,-0.6788499
10/18/2018,1.15,1.14522,-1.21E-02,-1.045517
10/19/2018,1.14521,1.15142,-4.77E-03,-0.4147794
10/22/2018,1.15149,1.14636,6.20E-03,0.5413768
10/23/2018,1.14635,1.14696,-5.06E-03,-0.4394537
10/24/2018,1.14697,1.13914,-7.22E-03,-0.6298222
10/25/2018,1.13914,1.13745,-9.51E-03,-0.8291519
10/26/2018,1.13743,1.14021,-1.69E-03,-0.1483602
10/28/2018,1.13921,1.13721,2.76E-03,0.2426527
10/29/2018,1.13721,1.13436,-5.85E-03,-0.5130701
10/30/2018,1.13429,1.13115,-6.06E-03,-0.5328835
10/31/2018,1.13115,1.14077,-3.21E-03,-0.2829744
11/01/2018,1.14074,1.1386,9.62E-03,0.8504576
11/05/2018,1.13863,1.14066,-2.17E-03,-0.1902195
11/06/2018,1.14065,1.14261,4.01E-03,0.3521836
11/07/2018,1.14259,1.14251,1.95E-03,0.1709454
11/08/2018,1.14253,1.13629,-0.00632,-0.5531196
11/09/2018,1.13629,1.13342,-9.09E-03,-0.7956224
11/12/2018,1.13182,1.12177,-1.45E-02,-1.277837
11/13/2018,1.12174,1.12899,-1.16E-02,-1.02786
11/14/2018,1.12889,1.13081,9.04E-03,0.8058691
11/15/2018,1.13069,1.13249,3.50E-03,0.3100102
11/16/2018,1.13249,1.14185,1.10E-02,0.9762889
11/19/2018,1.14133,1.14526,1.28E-02,1.127598
11/20/2018,1.14517,1.13696,3.41E-03,0.2986366
11/21/2018,1.13696,1.13838,-8.30E-03,-0.7247216
11/22/2018,1.13837,1.14002,3.06E-03,0.2691373
11/23/2018,1.14008,1.13355,1.64E-03,0.144061
11/26/2018,1.13401,1.13275,-7.27E-03,-0.6377062
11/27/2018,1.13273,1.12867,-4.88E-03,-0.4305122
11/28/2018,1.12865,1.1366,-4.08E-03,-0.3601904
11/29/2018,1.13659,1.13924,1.06E-02,0.9365048
11/30/2018,1.13918,1.13164,2.64E-03,0.2322725
12/03/2018,1.13499,1.13528,-7.60E-03,-0.6671175
12/04/2018,1.13528,1.13415,3.64E-03,0.321662
12/05/2018,1.13415,1.13443,-1.13E-03,-9.95E-02
12/06/2018,1.13441,1.1372,3.05E-03,0.2689212
12/07/2018,1.1372,1.13758,3.15E-03,0.2776713
12/10/2018,1.13909,1.13552,3.80E-04,3.34E-02
12/11/2018,1.13548,1.13154,-6.04E-03,-0.5309601
12/12/2018,1.13154,1.13681,-3.98E-03,-0.3505038
12/13/2018,1.13681,1.1356,5.27E-03,0.4657374
12/14/2018,1.13592,1.13045,-6.36E-03,-0.5594546
12/17/2018,1.13008,1.13472,-5.15E-03,-0.4535013
12/18/2018,1.13474,1.13595,5.50E-03,0.4865283
12/19/2018,1.13594,1.13752,2.80E-03,0.2467558
12/20/2018,1.13748,1.14451,8.56E-03,0.7535597
12/21/2018,1.14454,1.13684,6.99E-03,0.6145013
12/24/2018,1.13692,1.13988,-7.67E-03,-0.6701597
12/25/2018,1.13976,1.13988,3.04E-03,0.267404
12/26/2018,1.13901,1.13507,-4.81E-03,-0.4219721
12/27/2018,1.13507,1.14285,-4.81E-03,-0.4219721
12/28/2018,1.14285,1.14414,9.07E-03,0.7990731
12/31/2018,1.14331,1.14644,3.59E-03,0.3141259
